ID	Name	Desc	PriceDesc	Price	Store	IsFreeship	ServiceTag	BookTag	Author	AuthorScore	PublisherScore	PublisherCode	Publisher	BrandScore	Brand	Package	PubDate	PubYear	Paper	Language	PageSize	CommentCount	GoodCount	BadCount	IsPractise	IsFramework	SellLevel	SellScore
12656251	强化学习/人工智能科学与技术丛书	作者丰富的行业实践经验赋予本书极强的实用性，涉及深度强化学习，内容丰富、易学实用，5位业界专家、学者联名推荐	较高	78.3	清华大学出版社	0	2	自营|放心购	邹伟	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2020-06-01	2020.0	胶版纸	中文	380.0	820	119	0	0	0	一般	682.9898999999999
70360732845	周志华作品 AI人工智能书籍：机器学习理论导引/机器学习 西瓜书 机器学习入门教材书籍 之 机器学习理论导引（单本）	周志华作品 AI人工智能书籍：机器学习理论导引/机器学习 西瓜书 机器学习入门教材书籍 之 机器学习理论导引（单本）	中	55.0	芝麻开门图书专营店	0	1	放心购|门店有售|到店自取|券99-5	周志华	89	40	1	清华大学出版社	10			2020-05-31	2020.0				766	78	0	0	0	一般	593.5046000000001
70360732846	周志华作品 AI人工智能书籍：机器学习理论导引/机器学习 西瓜书 机器学习入门教材书籍 之 机器学习+机器学习理论导引 2本	周志华作品 AI人工智能书籍：机器学习理论导引/机器学习 西瓜书 机器学习入门教材书籍 之 机器学习+机器学习理论导引 2本	高	125.0	芝麻开门图书专营店	0	1	放心购|门店有售|到店自取|券99-5	周志华	89	40	1	清华大学出版社	10			2020-05-31	2020.0				766	78	0	0	0	一般	593.5046000000001
70360732844	周志华作品 AI人工智能书籍：机器学习理论导引/机器学习 西瓜书 机器学习入门教材书籍 之 机器学习（单本）	周志华作品 AI人工智能书籍：机器学习理论导引/机器学习 西瓜书 机器学习入门教材书籍 之 机器学习（单本）	中	58.0	芝麻开门图书专营店	0	1	放心购|门店有售|到店自取|券99-5	周志华	89	40	1	清华大学出版社	10			2020-05-31	2020.0				766	78	0	0	0	一般	593.5046000000001
16007151390	正版 机器学习 Tom Mitchell   曾华军 张银奎 计算机与互联网 |8185	正版书籍	低	22.0	互动出版网图书专营店	0	1	放心购|券每满300减30|满赠	美 Tom Mitchell	20	50	2	机械工业出版社	30	华章（HuaZhang）		2003-01-01	2003.0			280.0	695	516	1	0	0	一般	259.4688
36597039191	正版机器学习周志华著人工智能及其应用零基础入门书电脑编程程序设计数据分析神经网络与机器学习 实战教材	正版机器学习周志华著人工智能及其应用零基础入门书电脑编程程序设计数据分析神经网络与机器学习 实战教材	中	55.0	墨涵图书专营店	0	0	券99-5		20	40	1	清华大学出版社	10				1900.0				1289	193	3	1	0	一般	420.95925
10080298	O'Reilly：学习OpenCV（中文版）	由OpenCV发起人所写，站在一线开发人员的角度用通俗易懂的语言解释OpenCV的缘起和计算机视觉基础结构，演示了如何用OpenCV和现有的自由代码为各种各样的机器进行编程	中	63.8	清华大学出版社	0	1	自营	布拉德斯基	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2009-10-01	2009.0	胶版纸	中文	601.0	5764	5167	51	0	0	一般	690.6580865384616
12857798	Python机器学习算法与应用	以案例为导向，实践与理论相结合的机器学习	中	58.7	清华大学出版社	0	2	自营|放心购	邓立国	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2020-04-01	2020.0	胶版纸		216.0	3365	536	11	0	0	一般	955.8318
12816396	跟我一起玩Python编程(共2册):教孩子快速掌握编程技巧	一本实用有趣的Python编程上路书，中小学生计算机课智能创新教育体系参考读本。乐博乐博机器人创始人侯景刚倾情作序，北京机器人大赛总裁判长刘明非等真诚推荐给孩子	较高	79.2	竹石文化京东自营店	0	1	自营	李珊	20	10	700	天津科学技术出版社	10	竹石文化	平装	2019-09-01	2019.0	轻型纸			2229	417	2	0	0	一般	1686.4003333333333
11161591429	终极算法 机器学习和人工智能如何重塑世界	新华文轩正版保障，关注店铺可享粉丝价等专属优惠，团购客户量大从优详询本店客服。进会场领300减201神券	中	47.5	文轩网旗舰店	0	0	满99-5	佩德罗·多明戈斯(PedroDomingos	20	10	700	中信出版社	30	文轩		2017-01-01	2017.0				464	315	0	0	0	一般	230.40750000000003
10162882073	机器学习	新华书店正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！图书神券日爆款好书满300减201，点击立抢！！！	中	59.5	文轩网旗舰店	0	0	满99-5	周志华著	89	40	1	清华大学出版社	30	文轩		2016-01-01	2016.0				6610	5604	24	0	0	一般	1889.794016
1034750114	机器学习实战 python基础教程指南	新华书店正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！图书神券日爆款好书满300减201，点击立抢！！！	中	47.5	文轩网旗舰店	0	0	满99-5	哈林顿	20	50	0	人民邮电出版社	30	文轩		2013-06-01	2013.0				2763	2179	7	1	0	一般	1027.4824500000002
47668645554	机器学习+统计学习方法 第二版 	新华书店正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！图书神券日爆款好书满300减201，点击立抢！！！	高	149.5	文轩网旗舰店	0	0	满99-5	周志华著	89	40	1	清华大学出版社	30	文轩		2016-01-01	2016.0				1404	185	2	0	0	一般	665.2675000000002
12565404	机器学习入门到实战——MATLAB 实践应用（大数据与人工智能技术丛书）	详细对监督学习、无/非监督学习、强化学习三大类常用算法进行逐个讲解，包括机器学习算法原理、算法优缺点、算法的实例解释，以及MATLAB的实践应用,提供完整源码	中	50.2	清华大学出版社	0	2	自营|放心购	冷雨泉	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2019-02-01	2019.0	胶版纸		263.0	1660	267	3	1	0	一般	699.1564249999999
12954866	TensorFlow深度学习——深入理解人工智能算法设计（人工智能科学与技术丛书）	系统论述深度学习的算法原理及TensorFlow2.x工程实现！涵盖计算机视觉、自然语言处理、强化学习！清华、哈工大、浙大、腾讯专家联袂推荐！	较高	70.4	清华大学出版社	0	2	自营|放心购	龙良曲	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2020-07-01	2020.0	胶版纸		416.0	937	100	0	0	1	一般	888.286
11958135	数据挖掘与机器学习 WEKA应用技术与实践（第二版）	系统讲解经典的数据挖掘机器学习工具Weka，初学者的入门经典，研究者的钻研利器	较高	67.2	清华大学出版社	0	2	自营|放心购	袁梅宇	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2016-08-01	2016.0	胶版纸	中文	548.0	1324	829	0	1	0	一般	1864.1425
12961802	Python无监督机器学习最佳实践	探讨Python环境下的无监督机器学习。	高	109.7	清华大学出版社	0	2	自营|放心购	本杰明·约翰斯顿	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2020-07-01	2020.0	胶版纸	中文	373.0	2200	349	5	1	0	一般	818.0016500000002
12575030	人力资源数据分析：人工智能时代的人力资源管理	数据、传感器、分析、机器学习和人工智能在人力资源领域的技术分析宝典	中	45.0	机械工业出版社	0	2	自营|放心购	[英］伯纳德·马尔	20	50	2	机械工业出版社	50	机工出版	精装	2019-03-01	2019.0	胶版纸		264.0	712	92	0	0	0	一般	514.2156
10059103	神经网络与机器学习（英文版·第3版）	神经网络与机器学习（英文版·第3版）	中	56.9	机械工业出版社	0	2	自营|放心购	海金	20	50	2	机械工业出版社	50	机工出版	平装	2009-03-01	2009.0	胶版纸	英语	906.0	800	593	2	0	0	一般	228.89910000000003
14567600305	深度学习中文版 deep learning花书机器学习书籍 神经网络与深度学习AI 人工智能教程	深度学习中文版 deep learning花书机器学习书籍 神经网络与深度学习AI 人工智能教程	高	110.0	博库网旗舰店	1	0	免邮|满99-5	Ian Goodfellow...	20	50	0	人民邮电出版社	10	BOOKUU			1900.0				685	419	1	0	0	一般	248.98370000000003
12778746	深度学习图解	深度学习是人工智能的一个分支，这本书以有趣的图解方式为你揭开深度学习的神秘面纱	较高	84.2	清华大学出版社	0	2	自营|放心购	安德鲁·特拉斯克	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	线装	2019-12-01	2019.0	胶版纸	中文	270.0	5913	1267	20	0	0	一般	1695.2621809523807
12310381	深度学习基础（影印版）	深度学习基础（影印版）	中	65.0	南京东南大学出版社	0	2	自营|放心购	Nikhil Buduma	20	30	5	东南大学出版社	10	南京东南大学出版社	平装	2018-02-01	2018.0	胶版纸			578	397	0	0	0	一般	357.6483
12952486	机器学习：基于约束的方法	深度学习“花书”作者、图领奖得主YoshuaBengio推荐！本书从全新的视角诠释了机器学习的基本模型和算法，重点讨论了当前的两项研究热点：神经网络和核方法	高	105.6	机械工业出版社	0	1	自营	马可·戈里	20	50	2	机械工业出版社	50	机工出版	平装	2020-09-01	2020.0	胶版纸			1747	861	5	0	0	一般	532.5864666666666
26855503438	深度学习 deep learning 中文版 AI圣经 机器学习Python开发Java人工智能书籍	深度学习 deep learning 中文版 AI圣经 机器学习Python开发Java人工智能书籍	较高	92.0	华心图书专营店	1	1	放心购|免邮|券每满300减30|满300-30		20	50	0	人民邮电出版社	10				1900.0				465	282	0	0	0	一般	229.83120000000002
12279249	统计机器学习导论（英文版）	日本机器学习领域领军人物杉山将的著作。涵盖理解机器学习所必需的基础知识，着力于讲解统计模式识别的生成方法以及统计机器学习的判别方法，提供MATLAB/Octave程序源代码	较高	99.4	机械工业出版社	0	2	自营|放心购	杉山将	20	50	2	机械工业出版社	50	机工出版	平装	2018-01-01	2018.0	胶版纸		512.0	444	223	0	0	0	一般	207.50349999999997
12358970	统计机器学习导论	日本机器学习领军人物杉山将的著作，基础知识全面，	较高	79.0	机械工业出版社	0	1	自营	杉山将	20	50	2	机械工业出版社	50	机工出版	平装	2018-05-01	2018.0	胶版纸		352.0	835	385	2	0	0	一般	242.858
12006653	机器学习导论	人工智能专家米罗斯拉夫·库巴特教授25年倾心打造，系统解读了有关机器学习的14个方面，快速读懂机器学习，全面揭开机器学习的奥秘	较高	65.2	机械工业出版社	0	2	自营|放心购	米罗斯拉夫·库巴特	20	50	2	机械工业出版社	50	机工出版	平装	2016-11-01	2016.0	胶版纸		309.0	841	761	2	0	0	一般	256.8380666666667
12719313	人工智能出版工程 人工智能：机器学习理论与方法（精装版）	人工智能出版工程 人工智能：机器学习理论与方法（精装版）	较高	70.2	电子工业出版社	0	2	自营|放心购	李侃	20	50	3	电子工业出版社	10	电子工业出版社	精装	2020-08-01	2020.0		中文	328.0	1386	193	3	0	0	一般	486.247525
12375646	深入理解ICT与自动驾驶	人工智能 图像处理 机器学习与汽车的未来	较高	72.6	机械工业出版社	0	2	自营|放心购	野边継男	20	50	2	机械工业出版社	50	机工出版	平装	2018-06-01	2018.0	胶版纸		120.0	813	353	1	0	0	一般	344.85110000000003
12456707	机器学习+Python+Spark 2.0+Hadoop机器学习与大数据实战（京东套装共2册）	浅显易懂的原理介绍加上Step by Step 实机操作、范例程序详细解说,实现降低机器学习与大数据技术的学习门槛 读者服务与源代码免费下载获得	高	156.7		0	2	自营|放心购	周志华 林大贵	89	40	1	清华大学出版社	10		平装	2017-12-01	2017.0	胶版纸			3335	2374	8	1	0	一般	1321.2042666666664
12145215	深度学习：Java语言实现	面向初学者的深度学习和机器学习实战宝典。涵盖机器学习和深度学习的核心概念、算法和实现，并提供大量应用实例	中	38.0	机械工业出版社	0	2	自营|放心购	巣笼悠辅	20	50	2	机械工业出版社	50	机工出版	平装	2017-08-01	2017.0	胶版纸		188.0	814	689	1	0	0	一般	359.37424999999996
12455249	基于复杂网络的机器学习方法	利用复杂网络的结构和动力学特性，可以为机器学习中的特征选择以及样本标注提供新方法。	较高	66.0	机械工业出版社	0	2	自营|放心购	迪亚戈·克里斯蒂亚诺·席尔瓦	20	50	2	机械工业出版社	50	机工出版	平装	2018-11-01	2018.0	胶版纸		246.0	1539	384	2	0	0	一般	808.7053333333333
47612225922	统计学习方法 第2版 李航 统计机器学习	李航，统计学习方法第二版，增加了一些常用的无监督学习方法，由此本书涵盖了传统统计机器学习方法的主要内容。统计学习方法第2版+深度学习的数学，点击购买！！！	较高	69.0	布克专营店	0	1	放心购|券99-2	李航	20	40	1	清华大学出版社	10			2019-05-01	2019.0				886	98	1	0	0	一般	396.84380000000004
12439612	Python机器学习 5个数据科学家案例解析	介绍机器学习方法和Python编程，通过案例研究的方法解析真实世界的应用，教你解决实际问题的数据科学方法，解决机器学习的难题。	中	42.3	清华大学出版社	0	2	自营|放心购	达西·哈龙	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2018-09-01	2018.0	胶版纸	中文	183.0	5912	1266	20	1	0	一般	1694.6658
12091327	机器学习系统设计：Python语言实现	机器学习系统设计：Python语言实现	中	45.8	机械工业出版社	0	2	自营|放心购	戴维·朱利安	20	50	2	机械工业出版社	50	机工出版	平装	2017-06-01	2017.0	胶版纸		190.0	775	395	2	0	0	一般	210.16666666666666
12118225	机器学习：从公理到算法（中国计算机学会学术著作丛书）	机器学习是本次人工智能热潮的核心技术。引起轰动的应用如AlphaGo等,都可以看到机器学习的身影 想要知道机器学习 深度学习的本质吗？想要知道各种学习算法之间的关系吗？请读本书。	较高	68.0	清华大学出版社	0	2	自营|放心购	于剑	20	40	1	清华大学出版社	10	清华大学出版社（TSINGHUA UNIVERSITY PRESS）	平装	2017-06-01	2017.0	胶版纸	中文	231.0	2006	1582	3	0	0	一般	1084.3821
